3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,latitude,longitude
http://data.linkedevents.org/location/998bc434-34ac-4ccd-aaf1-6d627a5b832c,Avenue Jean médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0,43.7006,7.26802
http://data.linkedevents.org/location/759f64c3-8b08-499c-89a2-81db3d2e3b76,Observatoire de Nice,Observatoire de Nice,http://dbpedia.org/resource/Nice_Observatory,100.0,43.7274,7.29907
http://data.linkedevents.org/location/ca1ecfc9-6d74-327e-a949-060d0a847d10,Observatoire Oceanologique de Villefranche,Observatoire océanologique de Villefranche-sur-Mer,http://dbpedia.org/resource/Observatoire_Oceanologique_de_Villefranche,100.0,43.6964,7.30667
http://data.linkedevents.org/location/ff2228b7-e347-43c0-bb7d-501a0171636c,Palais Nikaia,Palais Nikaia,http://dbpedia.org/resource/Palais_Nikaia,100.0,43.6785,7.19897
http://data.linkedevents.org/location/7a47c850-88e1-3b25-8ddb-6dcefef9c4c3,Cimetière du Château,Cimetière du Château (Nice),http://dbpedia.org/resource/Cimetière_du_Château,100.0,43.6981,7.28057
http://data.linkedevents.org/location/34f7c16b-9051-38c5-84eb-8bb727b9b803,Parc Phoenix Nice,Parc Phœnix,http://dbpedia.org/resource/Parc_Phœnix,100.0,43.6742,7.19706
http://data.linkedevents.org/location/e5e52f18-e8c3-3b35-8674-88524b23a10e,"Russian Orthodox Cemetery, Nice",Cimetière russe de Nice,"http://dbpedia.org/resource/Russian_Orthodox_Cemetery,_Nice",100.0,43.6783,7.21611
http://data.linkedevents.org/location/ea5a808a-6769-4813-8fc4-650aa0887aeb,Hotel Negresco,Hôtel Negresco,http://dbpedia.org/resource/Hotel_Negresco,100.0,43.6947,7.25802
http://data.linkedevents.org/location/e8eb056b-a24b-36ea-bff3-b7fee89f4c51,Terra Amata (archaeological site),Terra Amata (site archéologique),http://dbpedia.org/resource/Terra_Amata_(archaeological_site),100.0,43.6978,7.28944
http://data.linkedevents.org/location/e924c2b4-fd26-3610-a746-6dcc73cd68c1,Villa Leopolda,Villa Leopolda,http://dbpedia.org/resource/Villa_Leopolda,100.0,43.7094,7.32111
http://data.linkedevents.org/location/09d76e37-e222-3951-af84-4102c19fc533,Saint-Laurent-du-Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,100.0,43.668,7.188
http://data.linkedevents.org/location/a7eb8d2a-1424-3750-8772-52fcce6695ce,Stadio Charles Ehrmann,Stade Charles-Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,100.0,43.6783,7.19778
http://data.linkedevents.org/location/ff117b4f-bcca-3620-950a-4478b9154697,Jardín Botánico de Niza,Jardin botanique de la ville de Nice,http://dbpedia.org/resource/Jardin_botanique_de_la_Ville_de_Nice,100.0,43.6851,7.2101
http://data.linkedevents.org/location/5207780a-8983-3748-8259-6fa517ce4024,Grand Hotel Du Cap Ferrat,Grand-Hôtel du Cap-Ferrat,http://dbpedia.org/resource/Grand-Hôtel_du_Cap-Ferrat,100.0,43.6839,7.23264
http://data.linkedevents.org/location/2e6a7e7a-74c6-3a53-bc3a-b842404d460a,"Sainte Jeanne d'Arc, Nice",Église Sainte-Jeanne-d'Arc de Nice,"http://dbpedia.org/resource/Sainte_Jeanne_d'Arc,_Nice",100.0,43.7134,7.2626
http://data.linkedevents.org/location/4f65536a-760a-3393-bc68-fdaf230c5c85,Castle of Nice,Château de Nice,http://dbpedia.org/resource/Castle_of_Nice,100.0,43.696,7.27968
http://data.linkedevents.org/location/274fc357-6730-4b4f-a779-d2d99845bca0,Musée International d’art Naif Anatole Jakovsky,Musée international d'art naïf Anatole Jakovsky,http://dbpedia.org/resource/Musée_international_d'Art_naïf_Anatole_Jakovsky,100.0,43.6862,7.23286
http://data.linkedevents.org/location/1e71ebd3-d495-4c35-88ff-3f749b65263b,Musée Matisse,Musée Matisse de Nice,http://dbpedia.org/resource/Musée_Matisse_(Nice),100.0,43.7195,7.27601
http://data.linkedevents.org/location/ffc2adaf-5478-3402-8985-6cd21edd092b,Saint-André-de-la-Roche,Saint-André-de-la-Roche,http://dbpedia.org/resource/Saint-André-de-la-Roche,100.0,43.7411,7.2883
http://data.linkedevents.org/location/a540e533-b401-3a7b-9a03-5bb88d551d6a,Cantón de Villefranche-sur-Mer,Canton de Villefranche-sur-Mer,http://dbpedia.org/resource/Canton_of_Villefranche-sur-Mer,100.0,43.705,7.3125
http://data.linkedevents.org/location/1acb1681-f68e-44d5-9935-461094849699,Aéroport de Nice-Côte d'Azur,Aéroport de Nice-Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,100.0,43.6656,7.21461
http://data.linkedevents.org/location/45624bb8-ead6-327c-9c72-b5fcec1252a3,villa Kerylos,Villa Kérylos,http://dbpedia.org/resource/Villa_Kerylos,100.0,43.6943,7.27809
http://data.linkedevents.org/location/8c3490cf-d609-4a96-8b78-542de8aa3754,Stade du Ray,Stade du Ray,http://dbpedia.org/resource/Stade_du_Ray,100.0,43.7233,7.25875
http://data.linkedevents.org/location/bad5f672-098a-35a1-9137-50c8dffee878,Carnaval De Nice,Carnaval de Nice,http://dbpedia.org/resource/Nice_Carnival,100.0,43.6971,7.27081
http://data.linkedevents.org/location/0b4e13ed-1681-3a73-b3d0-0b2e0e711ef9,Niza,Nice,http://dbpedia.org/resource/Nice,100.0,43.7034,7.2663
http://data.linkedevents.org/location/d8430e07-cd64-31d6-804f-bda1f16ffc93,Villa Paradiso,Villa Paradiso,http://dbpedia.org/resource/Villa_Paradiso,100.0,43.7091,7.27208
http://data.linkedevents.org/location/20a9c6d5-434c-4aa3-a0d6-9e40f090ed8f,Palais Lascaris,Palais Lascaris,http://dbpedia.org/resource/Palais_Lascaris,100.0,43.6977,7.27725
http://data.linkedevents.org/location/9ff42bb1-0cf8-3cd1-a80b-11b271a115e5,Nellcôte,Nellcôte,http://dbpedia.org/resource/Nellcôte,100.0,43.7018,7.32153
http://data.linkedevents.org/location/477208d2-9ce0-310d-b39d-e4fb4aeff229,Cantón de Saint-Laurent-du-Var-Cagnes-sur-Mer-Este,Canton de Saint-Laurent-du-Var-Cagnes-sur-Mer-Est,http://dbpedia.org/resource/Canton_of_Saint-Laurent-du-Var-Cagnes-sur-Mer-Est,100.0,43.6681,7.18806
http://data.linkedevents.org/location/37012dce-9584-49c9-af70-68dc192a9ef4,Opéra de Nice,Opéra de Nice,http://dbpedia.org/resource/Opéra_de_Nice,100.0,43.6954,7.27255
