uri_doremus,uri_wikidata,name_score,born_score,death_score,total_score
http://data.doremus.org/artist/006f5b4d-ab53-30c7-b6ed-7e14de9171ea,http://www.wikidata.org/entity/Q920997,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/009540ee-244b-3332-9c2f-2d6e09603677,http://www.wikidata.org/entity/Q5547245,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/00a38a2e-567d-3ad5-a25c-fa46a4e59d18,http://www.wikidata.org/entity/Q9554,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/00b2be6b-ab98-36ee-961a-496df7a7426d,http://www.wikidata.org/entity/Q1360255,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/012001db-9137-3336-9883-66a0426a89f0,http://www.wikidata.org/entity/Q263855,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/014c2dc8-d3f9-3fa4-a6d4-3769759fbdd6,http://www.wikidata.org/entity/Q363698,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/01915146-b964-3e1e-be87-102e2d7e52be,http://www.wikidata.org/entity/Q713467,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0197beb2-7a59-30f7-a70c-adf44345cf8a,http://www.wikidata.org/entity/Q514975,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/022d376a-a07c-343b-8ffc-dc960d63fbef,http://www.wikidata.org/entity/Q3357487,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/026ca0b4-084f-3a1b-8222-b069c4bc16f5,http://www.wikidata.org/entity/Q1804,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0273dd1d-8a2a-3e6d-b14e-241ce7113a78,http://www.wikidata.org/entity/Q697238,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/02ad1bab-64ff-32b3-857d-ba87aea1d257,http://www.wikidata.org/entity/Q294568,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/02f0c0ba-09a2-3b85-9de7-f598af5c1fa0,http://www.wikidata.org/entity/Q442978,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/03954109-0253-35d6-a70e-89ab27dea09c,http://www.wikidata.org/entity/Q7312,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/03c568e1-bc7c-3841-a3d7-978a0d391303,http://www.wikidata.org/entity/Q1397729,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/03d19961-887e-3811-8b6f-61d9e7493978,http://www.wikidata.org/entity/Q2131266,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/03ea5a8c-47ac-3070-9e6c-e107e375e86b,http://www.wikidata.org/entity/Q571408,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/04a033c0-b92f-3a4f-bd86-a44f8bfa6119,http://www.wikidata.org/entity/Q365555,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/04f64718-e9c9-3e39-926c-8fdf59ab8e84,http://www.wikidata.org/entity/Q44122,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/056f5c84-483e-3eed-9b62-bb1509287a37,http://www.wikidata.org/entity/Q154602,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/05719d69-525d-3f43-be0e-2026c429f6e0,http://www.wikidata.org/entity/Q5499243,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/05a679bb-b069-3edb-86be-c8455418f1ad,http://www.wikidata.org/entity/Q77177,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/05b58ba0-4ecb-3669-b2fe-5a6d3c63595b,http://www.wikidata.org/entity/Q1568143,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/05d81772-c5e1-38f2-9571-c9cfd0ad09f9,http://www.wikidata.org/entity/Q5932168,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0607b9fe-c6fe-38c1-aa5a-c2cf957bee74,http://www.wikidata.org/entity/Q185647,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/06625598-677c-30a3-b4e7-d55c4e8c60ec,http://www.wikidata.org/entity/Q1374304,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/06828f18-2768-346d-9b81-1b6112ce1bf0,http://www.wikidata.org/entity/Q313974,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/069e1437-23bf-320f-8581-c22c6077f70e,http://www.wikidata.org/entity/Q217068,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/06a45b18-8929-3ec9-ad97-d3055ec44efc,http://www.wikidata.org/entity/Q5928,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/06b9c11c-e66d-35dd-b3ea-5869b8c915c3,http://www.wikidata.org/entity/Q367539,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/07a0c2b6-48aa-33b8-a557-0410ae3a7648,http://www.wikidata.org/entity/Q273074,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/07b95eb8-5854-3f2e-95db-ec6321f16ec6,http://www.wikidata.org/entity/Q105487,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/07d63d59-69b0-3d32-9376-911d83f87318,http://www.wikidata.org/entity/Q160433,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/07dca5ba-c85e-3423-9a43-3a5f750d8940,http://www.wikidata.org/entity/Q235699,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/083259cd-1ff0-3e16-81ae-fbf6372da1fc,http://www.wikidata.org/entity/Q2173140,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/08499468-c1b5-35d2-958f-134bc11c9c7a,http://www.wikidata.org/entity/Q189015,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/08551b0b-5f26-3a0b-abba-14f54653c635,http://www.wikidata.org/entity/Q610575,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/087d9495-5352-3292-9d91-721b87c8b140,http://www.wikidata.org/entity/Q224941,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/08d6d257-c741-3531-970e-5b05210baede,http://www.wikidata.org/entity/Q1921492,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0928d0d3-cdf0-386a-befb-f2962d55ff27,http://www.wikidata.org/entity/Q10308205,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/092a8963-8da8-3ea2-8ab9-ef84d08b624a,http://www.wikidata.org/entity/Q67366,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/0936cf70-c112-39fc-b018-a2d7508f9c05,http://www.wikidata.org/entity/Q33124,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/094023c7-13be-3544-af43-a061650862f0,http://www.wikidata.org/entity/Q357326,1.0,1.0,1.0,3.0
