score,count,category
0.1,1,low
0.2,1,low
0.3,23,low
0.4,61,low
0.5,89,low
0.6,124,low
0.7,223,low
0.8,2618,low
0.9,753,low
1.0,1089,medium
1.1,304,medium
1.2,211,medium
1.3,466,medium
1.4,804,medium
1.5,1342,medium
1.6,348,medium
1.7,613,medium
1.8,6003,medium
1.9,13,medium
2.0,8,medium_high
2.1,98,medium_high
2.2,15,medium_high
2.3,42,medium_high
2.4,33,medium_high
2.5,17,medium_high
2.6,35,medium_high
2.7,51,medium_high
2.8,196,medium_high
2.9,16,medium_high
3.0,33,high
3.1,506,high
3.2,2,high
3.3,7,high
3.4,4,high
3.5,1,high
3.6,4,high
3.7,6,high
3.8,17,high
3.9,9,high
4.0,13,high
4.1,345,high
