score,count,category
1.0,113884,medium
1.1,1757,medium
1.2,1375,medium
1.3,1322,medium
1.4,1082,medium
1.5,1526,medium
1.6,1611,medium
1.7,2024,medium
1.8,1896,medium
1.9,2088,medium
2.0,6671,medium_high
2.1,352,medium_high
2.2,290,medium_high
2.3,337,medium_high
2.4,257,medium_high
2.5,386,medium_high
2.6,346,medium_high
2.7,414,medium_high
2.8,324,medium_high
2.9,377,medium_high
3.0,1794,high
3.1,62,high
3.2,55,high
3.3,66,high
3.4,106,high
3.5,91,high
3.6,94,high
3.7,106,high
3.8,92,high
3.9,86,high
4.0,109,high
4.1,12,high
4.2,26,high
4.3,12,high
4.4,15,high
4.5,5,high
4.6,10,high
4.7,6,high
4.8,4,high
4.9,8,high
5.0,6,
5.1,4,
5.2,0,
5.3,1,
5.4,4,
5.5,2,
5.7,0,
6.2,0,
6.5,1,
7.0,0,
