,our_match,your_match,doremus_uri,score
969,http://dbpedia.org/resource/Joseph-François_Garnier,http://dbpedia.org/resource/Joseph,http://data.doremus.org/artist/16066823-3fca-36d8-b518-c2e4febfa37c,1.0
2166,http://dbpedia.org/resource/Harold_Fraser-Simson,http://dbpedia.org/resource/Harold_Fraser,http://data.doremus.org/artist/628e9aeb-6476-3e5b-8271-299e26a46d91,1.0
638,http://dbpedia.org/resource/Pierre-Octave_Ferroud,http://dbpedia.org/resource/Pierre,http://data.doremus.org/artist/1cbec6fc-d42b-30b5-bdc6-974f58448ba2,1.0
1736,http://dbpedia.org/resource/Rudolf_Wagner-Régeny,http://dbpedia.org/resource/Rudolf_Wagner,http://data.doremus.org/artist/21366dd5-8240-391e-a82f-f5463e5aee8f,1.0
798,http://dbpedia.org/resource/Samuel_Coleridge-Taylor,http://dbpedia.org/resource/Samuel_Taylor_Coleridge,http://data.doremus.org/artist/83b0b56f-eb76-3156-8f37-86db6310337e,1.0
2898,http://dbpedia.org/resource/Armand-Louis_Couperin,http://dbpedia.org/resource/Armand,http://data.doremus.org/artist/152893b6-e72f-302f-b098-91ee8d1a902f,1.0
1987,http://dbpedia.org/resource/Joseph-Hector_Fiocco,http://dbpedia.org/resource/Joseph,http://data.doremus.org/artist/92749ae6-22ed-372f-bf36-60620d7dd84a,1.0
2135,http://dbpedia.org/resource/Sven-Erik_Bäck,http://dbpedia.org/resource/Sven,http://data.doremus.org/artist/2545fe05-4aa3-3f10-960a-9d2a28750bed,1.0
975,http://dbpedia.org/resource/Antoine-Frédéric_Gresnick,http://dbpedia.org/resource/Antoine,http://data.doremus.org/artist/28540618-fef3-361c-84a9-64067a44f5ef,1.0
2333,http://dbpedia.org/resource/Adrien-François_Servais,http://dbpedia.org/resource/Adrien,http://data.doremus.org/artist/7c42dd6f-0331-3677-ab16-06eb332bd319,1.0
225,http://dbpedia.org/resource/Peter_Cornelius,http://dbpedia.org/resource/Peter_Cornelius_(opera_singer),http://data.doremus.org/artist/feedb49e-60a1-3d09-9c85-8cac5cadd123,1.0
2729,http://dbpedia.org/resource/Jean-Michel_Damase,http://dbpedia.org/resource/Jean,http://data.doremus.org/artist/c1554354-f5e2-3cff-bc67-99aebfd639ff,1.0
2911,http://dbpedia.org/resource/Dynam-Victor_Fumet,http://dbpedia.org/resource/Foot-pound_(energy),http://data.doremus.org/artist/81c4f290-e3fe-3e40-86ac-04cea1d12c63,1.0
2209,http://dbpedia.org/resource/Martin-Joseph_Mengal,http://dbpedia.org/resource/Martin,http://data.doremus.org/artist/1175c6da-f12e-358f-978d-ab2b41e4573a,1.0
176,http://dbpedia.org/resource/Étienne-Joseph_Floquet,http://dbpedia.org/resource/Étienne,http://data.doremus.org/artist/7c4fd9ed-7a5d-39c7-ab4a-d55dede2fe4c,0.9975
73,http://dbpedia.org/resource/Lars-Erik_Larsson,http://dbpedia.org/resource/Lars,http://data.doremus.org/artist/9003abb1-f722-3891-a40b-e5f8fad9ca92,0.997
835,"http://dbpedia.org/resource/Joseph_Hellmesberger,_Jr.",http://dbpedia.org/resource/Joseph_Hellmesberger,http://data.doremus.org/artist/48c609d5-2de6-3e75-bee7-19e536e4f41e,0.9805
986,http://dbpedia.org/resource/Jan_Müller-Wieland,http://dbpedia.org/resource/Jan_Müller,http://data.doremus.org/artist/caa50d7a-63a5-3cc1-8350-2a11b336a9cd,0.97275
2340,http://dbpedia.org/resource/Marc-André_Dalbavie,http://dbpedia.org/resource/Marc,http://data.doremus.org/artist/da55376e-0379-3efe-bae3-bae175a593f5,0.9615
2140,http://dbpedia.org/resource/Mark-Anthony_Turnage,http://dbpedia.org/resource/Mark,http://data.doremus.org/artist/6be5c3f6-d661-35d5-8b74-029d65729830,0.95925
3262,http://dbpedia.org/resource/Amélie-Julie_Candeille,http://dbpedia.org/resource/Amélie,http://data.doremus.org/artist/b3e62e6c-a13d-398e-8780-0b7b42cd006b,0.9565
2723,http://dbpedia.org/resource/Pierre-Joseph_Candeille,http://dbpedia.org/resource/Pierre,http://data.doremus.org/artist/01df551b-a942-3c0e-b363-0d477f91c356,0.955
2947,http://dbpedia.org/resource/Esa-Pekka_Salonen,http://dbpedia.org/resource/European_Space_Agency,http://data.doremus.org/artist/6e0fdbca-c46b-3085-a40b-759bd67e5bf2,0.95475
2029,http://dbpedia.org/resource/Jacques-Nicolas_Lemmens,http://dbpedia.org/resource/Jacques,http://data.doremus.org/artist/285e8ec7-5ec3-3206-9221-a95df3b95d1a,0.9525
1905,http://dbpedia.org/resource/Charles-Alexandre_Fessy,http://dbpedia.org/resource/Charles,http://data.doremus.org/artist/1ebeb7c7-d71b-3881-9a1c-6a7cc8c4e339,0.9475
2246,http://dbpedia.org/resource/Joël-François_Durand,http://dbpedia.org/resource/Joel_(given_name),http://data.doremus.org/artist/9a648d62-7160-3632-ab62-d33d2f3b3855,0.94575
1261,"http://dbpedia.org/resource/Nikolay_Kedrov,_Sr.",http://dbpedia.org/resource/Nikolay_Kedrov,http://data.doremus.org/artist/902da3f3-8714-3619-8586-42406cfd052b,0.9395
2625,http://dbpedia.org/resource/Robert_Simpson_(composer),http://dbpedia.org/resource/Robert_Simpson_(UK_politician),http://data.doremus.org/artist/b98e73ce-6a39-3f2a-980a-c66165165bda,0.938
791,"http://dbpedia.org/resource/Karlheinz_Essl,_Jr.",http://dbpedia.org/resource/Karlheinz_Essl,http://data.doremus.org/artist/cf1a6343-ff7f-3665-8c49-1dc76e35bfaa,0.93175
667,http://dbpedia.org/resource/Claude-Michel_Schönberg,http://dbpedia.org/resource/Claude,http://data.doremus.org/artist/505732e5-c3c0-30a4-bed2-44c52abb7c8a,0.92325
2986,http://dbpedia.org/resource/Sven-David_Sandström,http://dbpedia.org/resource/Sven,http://data.doremus.org/artist/c540d899-3bdc-393d-b508-19f464f9b507,0.91875
421,"http://dbpedia.org/resource/Paul_I,_Prince_Esterházy",http://dbpedia.org/resource/Paul_I,http://data.doremus.org/artist/14494309-66c8-3f85-99ce-c68e3d2d5f0a,0.9165
971,http://dbpedia.org/resource/Jean-Claude_Amiot,http://dbpedia.org/resource/Jean,http://data.doremus.org/artist/00d0b268-9a76-3f5c-91d1-20706baf3226,0.912
1191,http://dbpedia.org/resource/François-Bernard_Mâche,http://dbpedia.org/resource/François,http://data.doremus.org/artist/d680280e-6dc6-369a-b48e-c26b989fe8f8,0.903
1171,"http://dbpedia.org/resource/Easley_Blackwood,_Jr.",http://dbpedia.org/resource/Easley_Blackwood,http://data.doremus.org/artist/02af27b5-a65d-3ca0-a88d-6341e2941ca1,0.8735
959,http://dbpedia.org/resource/Thomas-Louis_Bourgeois,http://dbpedia.org/resource/Thomas,http://data.doremus.org/artist/42d682ca-c1c9-305f-b220-c83af6037160,0.75
653,http://dbpedia.org/resource/Antonio_Balestra,http://dbpedia.org/resource/Antonio_Lotti,http://data.doremus.org/artist/7fa2af6f-c338-3f96-9c5b-63d2c6fa0a98,0.745556495015
402,http://dbpedia.org/resource/Henry_Holden,http://dbpedia.org/resource/Henry_Lawes,http://data.doremus.org/artist/65fd4a29-bc6e-3451-b4d9-f75559a52cd5,0.67269840722
2914,http://dbpedia.org/resource/Hubert_Giraud,http://dbpedia.org/resource/Hubert_Giraud_(composer),http://data.doremus.org/artist/6feb0b70-efd0-3ef7-b517-99399909d448,0.5
666,http://dbpedia.org/resource/Giovanni_Battista_Sammartini,http://dbpedia.org/resource/Giuseppe_Sammartini,http://data.doremus.org/artist/be35c1a5-4f15-3de7-92fc-47191a4c3774,0.5
