3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,latitude,longitude
http://data.linkedevents.org/location/c5e5c428-0342-330e-be99-351a9c1c936f,Avenue Jean Médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0,43.7009,7.26786
http://data.linkedevents.org/location/759f64c3-8b08-499c-89a2-81db3d2e3b76,Observatoire de Nice,Observatoire de Nice,http://dbpedia.org/resource/Nice_Observatory,100.0,43.7274,7.29907
http://data.linkedevents.org/location/ff2228b7-e347-43c0-bb7d-501a0171636c,Palais Nikaia,Palais Nikaia,http://dbpedia.org/resource/Palais_Nikaia,100.0,43.6785,7.19897
http://data.linkedevents.org/location/7a47c850-88e1-3b25-8ddb-6dcefef9c4c3,Cimetière du Château,Cimetière du Château (Nice),http://dbpedia.org/resource/Cimetière_du_Château,100.0,43.6981,7.28057
http://data.linkedevents.org/location/cad9c74a-e1d8-476c-b874-72d5577f163e,Parc Phoenix,Parc Phœnix,http://dbpedia.org/resource/Parc_Phœnix,100.0,43.6683,7.21754
http://data.linkedevents.org/location/e5e52f18-e8c3-3b35-8674-88524b23a10e,"Russian Orthodox Cemetery, Nice",Cimetière russe de Nice,"http://dbpedia.org/resource/Russian_Orthodox_Cemetery,_Nice",100.0,43.6783,7.21611
http://data.linkedevents.org/location/ea5a808a-6769-4813-8fc4-650aa0887aeb,Hotel Negresco,Hôtel Negresco,http://dbpedia.org/resource/Hotel_Negresco,100.0,43.6947,7.25802
http://data.linkedevents.org/location/e8eb056b-a24b-36ea-bff3-b7fee89f4c51,Terra Amata (archaeological site),Terra Amata (site archéologique),http://dbpedia.org/resource/Terra_Amata_(archaeological_site),100.0,43.6978,7.28944
http://data.linkedevents.org/location/e924c2b4-fd26-3610-a746-6dcc73cd68c1,Villa Leopolda,Villa Leopolda,http://dbpedia.org/resource/Villa_Leopolda,100.0,43.7094,7.32111
http://data.linkedevents.org/location/ff117b4f-bcca-3620-950a-4478b9154697,Jardín Botánico de Niza,Jardin botanique de la ville de Nice,http://dbpedia.org/resource/Jardin_botanique_de_la_Ville_de_Nice,100.0,43.6851,7.2101
http://data.linkedevents.org/location/2e6a7e7a-74c6-3a53-bc3a-b842404d460a,"Sainte Jeanne d'Arc, Nice",Église Sainte-Jeanne-d'Arc de Nice,"http://dbpedia.org/resource/Sainte_Jeanne_d'Arc,_Nice",100.0,43.7134,7.2626
http://data.linkedevents.org/location/274fc357-6730-4b4f-a779-d2d99845bca0,Musée International d’art Naif Anatole Jakovsky,Musée international d'art naïf Anatole Jakovsky,http://dbpedia.org/resource/Musée_international_d'Art_naïf_Anatole_Jakovsky,100.0,43.6862,7.23286
http://data.linkedevents.org/location/1e71ebd3-d495-4c35-88ff-3f749b65263b,Musée Matisse,Musée Matisse de Nice,http://dbpedia.org/resource/Musée_Matisse_(Nice),100.0,43.7195,7.27601
http://data.linkedevents.org/location/b6790887-3582-37f0-80d7-8ac91003930d,Saint-André-de-la-Roche,Saint-André-de-la-Roche,http://dbpedia.org/resource/Saint-André-de-la-Roche,100.0,43.7489,7.28424
http://data.linkedevents.org/location/a540e533-b401-3a7b-9a03-5bb88d551d6a,Cantón de Villefranche-sur-Mer,Canton de Villefranche-sur-Mer,http://dbpedia.org/resource/Canton_of_Villefranche-sur-Mer,100.0,43.705,7.3125
http://data.linkedevents.org/location/5c2fe4dd-fa05-3211-adaf-32f7652e21a8,Aéroport Nice Côte d’Azur,Aéroport de Nice-Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,100.0,43.6607,7.20892
http://data.linkedevents.org/location/8c3490cf-d609-4a96-8b78-542de8aa3754,Stade du Ray,Stade du Ray,http://dbpedia.org/resource/Stade_du_Ray,100.0,43.7233,7.25875
http://data.linkedevents.org/location/bad5f672-098a-35a1-9137-50c8dffee878,Carnaval De Nice,Carnaval de Nice,http://dbpedia.org/resource/Nice_Carnival,100.0,43.6971,7.27081
http://data.linkedevents.org/location/d8430e07-cd64-31d6-804f-bda1f16ffc93,Villa Paradiso,Villa Paradiso,http://dbpedia.org/resource/Villa_Paradiso,100.0,43.7091,7.27208
http://data.linkedevents.org/location/eb043ada-a049-3952-9149-f3cc9070e880,Les Cedres,Les Cèdres,http://dbpedia.org/resource/Jardin_botanique_%22Les_Cèdres%22,100.0,43.6897,7.23895
http://data.linkedevents.org/location/20a9c6d5-434c-4aa3-a0d6-9e40f090ed8f,Palais Lascaris,Palais Lascaris,http://dbpedia.org/resource/Palais_Lascaris,100.0,43.6977,7.27725
http://data.linkedevents.org/location/37012dce-9584-49c9-af70-68dc192a9ef4,Opéra de Nice,Opéra de Nice,http://dbpedia.org/resource/Opéra_de_Nice,100.0,43.6954,7.27255
http://data.linkedevents.org/location/579aa423-cb1b-3d35-90d5-ef482aa093ad,Nice Lawn Tennis Club,Nice Lawn Tennis Club,http://dbpedia.org/resource/Nice_Lawn_Tennis_Club,100.0,43.7043,7.25188
http://data.linkedevents.org/location/25cf9930-650e-41c8-9e7f-987666e2f721,Musée d'art moderne et d'art contemprorain,Musée d'art moderne et d'art contemporain de Nice,http://dbpedia.org/resource/Musée_d'art_moderne_et_d'art_contemporain,98.6,43.7014,7.27852
http://data.linkedevents.org/location/c19f553c-06cd-3dee-8626-fa4e801fc664,Acropolis,Acropolis (Nice),http://dbpedia.org/resource/Palais_des_Congrès_Acropolis,98.0,43.7047,7.2808
http://data.linkedevents.org/location/25d5106a-2606-483f-be18-a6f7aefcad62,Stade Allianz Riviera,Allianz Riviera,http://dbpedia.org/resource/Allianz_Riviera,96.4,43.7049,7.19261
http://data.linkedevents.org/location/be084093-7487-4c11-aad0-0abaaa298ca6,Stade Charles ehhmann,Stade Charles-Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,96.0,43.6782,7.19769
http://data.linkedevents.org/location/b5183cee-7d9a-3085-825f-ace9c1522f04,Museo Marc-Chagall,Musée Marc-Chagall (Nice),http://dbpedia.org/resource/Musée_Marc_Chagall,96.0,43.7092,7.26954
http://data.linkedevents.org/location/103a13a2-b8a5-3974-95cf-485ab7015848,"[u'Centre international de formation europ\xe9enne CIFE', u'Cife']",Centre international de formation européenne,http://dbpedia.org/resource/Centre_International_de_Formation_Européenne,95.6,43.6952,7.25418
http://data.linkedevents.org/location/2ab8fb6e-aea1-3c67-958c-163fb4cc7183,EDHEC Nice,BBA EDHEC,http://dbpedia.org/resource/Espeme,95.6,43.6784,7.22976
http://data.linkedevents.org/location/a98a064b-1b7a-462d-b8df-3dfcc05a7c67,Théâtre de verdure,Théâtre de verdure de Nice,http://dbpedia.org/resource/Théâtre_de_verdure_de_Nice,95.2,43.6957,7.2678
http://data.linkedevents.org/location/2b4dbce7-a191-38ed-a11f-b5fb5aa078b4,IAE (Institut d'Administration des Entreprises),Institut d'administration des entreprises de Nice,http://dbpedia.org/resource/IAE_Nice,94.6,43.7091,7.28854
http://data.linkedevents.org/location/2dff4d67-78ed-3062-b6fc-09768eaab5a7,Cathédrale Saint-Nicolas,Cathédrale Saint-Nicolas de Nice,"http://dbpedia.org/resource/Russian_Orthodox_Cathedral,_Nice",94.0,43.7038,7.25389
http://data.linkedevents.org/location/d31e5d0d-18f9-4ec9-8792-1ba3421cb4c5,Cathédrale Sainte-Réparate,Cathédrale Sainte-Réparate de Nice,http://dbpedia.org/resource/Nice_Cathedral,94.0,43.6972,7.2758
http://data.linkedevents.org/location/c62cc425-c12a-37ab-9d51-08d3cc5c0703,"Cocody Beach, Saint Laurent Du Var",Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,93.8,43.6579,7.1892
http://data.linkedevents.org/location/8acb3ce4-4f52-30cb-8344-d07539d404d1,Taxi drap,Drap (Alpes-Maritimes),http://dbpedia.org/resource/Drap,93.6,43.755,7.32022
http://data.linkedevents.org/location/04615f5b-67cc-48fc-a224-40786b28eca7,Musée des beaux arts,Musée des beaux-arts de Nice,http://dbpedia.org/resource/Musée_des_Beaux-Arts_de_Nice,93.0,43.6944,7.24889
http://data.linkedevents.org/location/cf03981e-2a63-3934-8a6e-e54b4261f76b,Olympique Gymnase Club Nice Côte d'Azur OGCN,Olympique Gymnaste Club Nice Côte d'Azur,http://dbpedia.org/resource/OGC_Nice,93.0,43.6865,7.19455
http://data.linkedevents.org/location/afc4b01a-76cc-32a9-88d5-b836756bad72,Plage de Beaulieu sur Mer,Beaulieu-sur-Mer,http://dbpedia.org/resource/Beaulieu-sur-Mer,92.6,43.7055,7.31287
http://data.linkedevents.org/location/1d317cf0-14ea-35d5-9d31-377c88005c8a,Le Tramway,Tramway de Nice,http://dbpedia.org/resource/Nice_tramway,91.8,43.7024,7.26359
http://data.linkedevents.org/location/db240143-461e-3934-b019-528ef5aaa7a7,Le Lido Saint Jean Cap Ferrat,Saint-Jean-Cap-Ferrat,http://dbpedia.org/resource/Saint-Jean-Cap-Ferrat,91.8,43.6925,7.32228
http://data.linkedevents.org/location/52af777d-d951-4ffd-888d-66dbc8a7cad4,Observatoire Océanologique,Observatoire océanologique de Villefranche-sur-Mer,http://dbpedia.org/resource/Observatoire_Oceanologique_de_Villefranche,91.0,43.6963,7.30665
http://data.linkedevents.org/location/ee935005-1441-3ac7-ba21-9fef3cdd1289,"[u'Basilique Notre Dame de l\u2019Assomption', u'Basilique Notre-Dame de l\u2019Assomption']",Basilique Notre-Dame de Nice,http://dbpedia.org/resource/Notre-Dame_de_Nice,91.0,43.7032,7.26575
http://data.linkedevents.org/location/e13f8711-2f56-385d-9d8e-2ecad72ea966,"Plage, Promenade des Anglais , Nice",Promenade des Anglais,http://dbpedia.org/resource/Promenade_des_Anglais,90.8,43.6797,7.23096
http://data.linkedevents.org/location/62a5ed3f-98cf-3447-bc57-5d252deca825,L'ancien Château De Nice,Château de Nice,http://dbpedia.org/resource/Castle_of_Nice,90.8,43.6975,7.28175
http://data.linkedevents.org/location/fadfca45-25de-32a7-946d-bd92406e5375,Hôtel Comté De Nice,Comté de Nice,http://dbpedia.org/resource/County_of_Nice,90.6,43.7087,7.26133
http://data.linkedevents.org/location/53a5227e-a564-3dcf-b3cd-91c98df45dc0,"[u'Les Am\xe9ricains et la 6e Flotte \xe0 Villefranche sur mer', u'Les Am\xe9ricains et la 6\xe8me Flotte \xe0 Villefranche sur mer']",Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,90.0,43.7,7.30919
http://data.linkedevents.org/location/bdb81497-5d3e-335c-881e-820e18ab6479,Pavillon M,Paillon,http://dbpedia.org/resource/Paillon,88.4,43.7251,7.28307
http://data.linkedevents.org/location/3f91bfdf-ce2d-343a-b3ab-ea15f14603d5,Magnan Plage,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),88.2,43.691,7.24478
http://data.linkedevents.org/location/e7580704-a3e5-313a-a4c0-74c1f5eeb3d0,Villa Arena,Villa Arson,http://dbpedia.org/resource/Villa_Arson,88.0,43.7154,7.27495
http://data.linkedevents.org/location/d2cd7436-8750-31c2-96e0-7c2ca5db80c8,FONCIA FTL CIMIEZ,Cimiez,http://dbpedia.org/resource/Cimiez,87.8,43.7146,7.27172
http://data.linkedevents.org/location/285ddc3e-0595-3200-b435-51c42f8ddc6b,Open De Nice - Parc Imperial,Open de Nice,http://dbpedia.org/resource/Open_de_Nice_Côte_d'Azur,87.2,43.7049,7.25177
http://data.linkedevents.org/location/b6b53853-5602-342c-a1dc-738656945420,Les Ecoles Falicon,Falicon,http://dbpedia.org/resource/Falicon,86.8,43.7492,7.27782
http://data.linkedevents.org/location/6acb9cf2-5cb4-3903-8256-141fe80263ad,Diocesaine De Nice,Diocèse de Nice,http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Nice,86.6,43.7185,7.25504
http://data.linkedevents.org/location/47e7065e-e152-39ce-985d-08633c18d50d,Ifsi la Gaude.,La Gaude,http://dbpedia.org/resource/La_Gaude,86.6,43.7292,7.18378
http://data.linkedevents.org/location/9e024b4b-ca09-36d1-9f54-07176b272c34,Universite de Nice,Université Nice Sophia Antipolis,http://dbpedia.org/resource/University_of_Nice_Sophia_Antipolis,86.0,43.7087,7.28825
http://data.linkedevents.org/location/494f2cb3-2f1d-39e4-9834-4482d2a84a2c,Auron Station,Gare de Nice CP,http://dbpedia.org/resource/Gare_de_Nice_CP,85.8,43.7201,7.25629
http://data.linkedevents.org/location/21e0dffa-cdef-3f46-8516-b682e80a6186,Conservatoire de Nice,Conservatoire à rayonnement régional de Nice,http://dbpedia.org/resource/Conservatory_of_Nice,85.4,43.7243,7.27162
